range_label,range_min,range_max,source_file,fault_type,requested_k,effective_k,candidate_nets,feasible_fault_sites,capped,output_file
100-500,100,500,Priority.v,stuck_at,454,454,1809,1809,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k454_Priority.v
100-500,100,500,Priority.v,glitch,454,454,1809,1809,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k454_Priority.v
100-500,100,500,Priority.v,bridging,454,454,1809,1635336,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k454_Priority.v
500-1000,500,1000,Priority.v,stuck_at,723,723,1809,1809,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k723_Priority.v
500-1000,500,1000,Priority.v,glitch,723,723,1809,1809,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k723_Priority.v
500-1000,500,1000,Priority.v,bridging,723,723,1809,1635336,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k723_Priority.v
1000-2000,1000,2000,Priority.v,stuck_at,1498,1498,1809,1809,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1498_Priority.v
1000-2000,1000,2000,Priority.v,glitch,1498,1498,1809,1809,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1498_Priority.v
1000-2000,1000,2000,Priority.v,bridging,1498,1498,1809,1635336,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1498_Priority.v
100-500,100,500,adder.v,stuck_at,376,376,2034,2034,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k376_adder.v
100-500,100,500,adder.v,glitch,376,376,2034,2034,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k376_adder.v
100-500,100,500,adder.v,bridging,376,376,2034,2067561,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k376_adder.v
500-1000,500,1000,adder.v,stuck_at,994,994,2034,2034,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k994_adder.v
500-1000,500,1000,adder.v,glitch,994,994,2034,2034,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k994_adder.v
500-1000,500,1000,adder.v,bridging,994,994,2034,2067561,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k994_adder.v
1000-2000,1000,2000,adder.v,stuck_at,1961,1961,2034,2034,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1961_adder.v
1000-2000,1000,2000,adder.v,glitch,1961,1961,2034,2034,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1961_adder.v
1000-2000,1000,2000,adder.v,bridging,1961,1961,2034,2067561,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1961_adder.v
100-500,100,500,arbiter.v,stuck_at,164,164,23061,23061,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k164_arbiter.v
100-500,100,500,arbiter.v,glitch,164,164,23061,23061,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k164_arbiter.v
100-500,100,500,arbiter.v,bridging,164,164,23061,265893330,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k164_arbiter.v
500-1000,500,1000,arbiter.v,stuck_at,571,571,23061,23061,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k571_arbiter.v
500-1000,500,1000,arbiter.v,glitch,571,571,23061,23061,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k571_arbiter.v
500-1000,500,1000,arbiter.v,bridging,571,571,23061,265893330,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k571_arbiter.v
1000-2000,1000,2000,arbiter.v,stuck_at,1284,1284,23061,23061,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1284_arbiter.v
1000-2000,1000,2000,arbiter.v,glitch,1284,1284,23061,23061,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1284_arbiter.v
1000-2000,1000,2000,arbiter.v,bridging,1284,1284,23061,265893330,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1284_arbiter.v
100-500,100,500,bar.v,stuck_at,100,100,2831,2831,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k100_bar.v
100-500,100,500,bar.v,glitch,100,100,2831,2831,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k100_bar.v
100-500,100,500,bar.v,bridging,100,100,2831,4005865,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k100_bar.v
500-1000,500,1000,bar.v,stuck_at,767,767,2831,2831,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k767_bar.v
500-1000,500,1000,bar.v,glitch,767,767,2831,2831,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k767_bar.v
500-1000,500,1000,bar.v,bridging,767,767,2831,4005865,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k767_bar.v
1000-2000,1000,2000,bar.v,stuck_at,1976,1976,2831,2831,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1976_bar.v
