range_label,range_min,range_max,node_class,in_degree_count,in_degree_mean,in_degree_median,in_degree_std,in_degree_min,in_degree_max,out_degree_count,out_degree_mean,out_degree_median,out_degree_std,out_degree_min,out_degree_max,total_degree_count,total_degree_mean,total_degree_median,total_degree_std,total_degree_min,total_degree_max,path_depth_count,path_depth_mean,path_depth_median,path_depth_std,path_depth_min,path_depth_max,CC0_exact_count,CC0_exact_mean,CC0_exact_median,CC0_exact_std,CC0_exact_min,CC0_exact_max,CC1_exact_count,CC1_exact_mean,CC1_exact_median,CC1_exact_std,CC1_exact_min,CC1_exact_max,CO_exact_count,CO_exact_mean,CO_exact_median,CO_exact_std,CO_exact_min,CO_exact_max,dist_to_PO_count,dist_to_PO_mean,dist_to_PO_median,dist_to_PO_std,dist_to_PO_min,dist_to_PO_max,fanout_count,fanout_mean,fanout_median,fanout_std,fanout_min,fanout_max,fanout_norm_count,fanout_norm_mean,fanout_norm_median,fanout_norm_std,fanout_norm_min,fanout_norm_max,gate_delay_count,gate_delay_mean,gate_delay_median,gate_delay_std,gate_delay_min,gate_delay_max
100-500,100,500,bridging,8761,0.9703230224860175,1.0,0.16970427738652796,0,1,8761,1.598561808012784,1.0,3.31357974353355,0,128,8761,2.5688848304988015,2.0,3.3180817408411523,0,129,8761,5.715671726971807,5.0,3.6717286292600275,0,28,8761,146845.18707910055,15.0,354992.39624413516,1,3391481,8761,200323.33763269032,17.0,2288201.606284288,1,197132283,8761,6.037324506334893,2.0,11.206737184406938,0,164,8761,6.037324506334893,2.0,11.206737184406938,0,164,8761,1.598561808012784,1.0,3.31357974353355,0,128,8761,0.09232644838401054,0.0186915887850467,0.15583089783642895,0.0,1.0,8761,0.2,0.2,0.0,0.2,0.2
100-500,100,500,clean,1709160,1.5066354232488475,1.0,0.6304398384822727,0,8,1709160,1.4882228697137776,1.0,9.413739774714893,0,5672,1709160,2.994858292962625,3.0,9.426406845052666,0,5676,1709160,5.329429076271385,4.0,3.7162760200543787,0,39,1709160,859910.8121755716,28.0,11693912.50209982,1,977273724,1709160,866300.6000298392,31.0,11708625.819882466,1,977273727,1709160,26.686853191041212,17.0,34.154157574362536,0,281,1709160,26.686853191041212,17.0,34.154157574362536,0,281,1709160,1.4882228697137776,1.0,9.413739774714893,0,5672,1709160,0.03270998810392499,0.0031152647975077,0.09091727960683404,0.0,1.0,1709160,0.7821327435699408,1.0,0.24878867249877867,0.5,2.0
100-500,100,500,glitch,7969,0.0,0.0,0.0,0,0,7969,1.650395281716652,1.0,2.8715384533755883,0,128,7969,1.650395281716652,1.0,2.8715384533755883,0,128,7969,0.0,0.0,0.0,0,0,7969,1.0,1.0,0.0,1,1,7969,1.0,1.0,0.0,1,1,7969,7.285857698582006,2.0,12.763649360599413,0,161,7969,7.285857698582006,2.0,12.763649360599413,0,161,7969,1.650395281716652,1.0,2.8715384533755883,0,128,7969,0.11268796968277002,0.05,0.17039056609647743,0.0,1.0,7969,0.2,0.2,0.0,0.2,0.2
100-500,100,500,stuck_at,7969,0.0,0.0,0.0,0,0,7969,1.6079809260885933,1.0,2.3176827143279897,0,115,7969,1.6079809260885933,1.0,2.3176827143279897,0,115,7969,0.0,0.0,0.0,0,0,7969,495294.7699836868,1.0,500008.7286892268,1,1000000,7969,504706.2300163132,1000000.0,500008.7286892269,1,1000000,7969,7.5349479232024095,2.0,13.136966322635988,0,166,7969,7.5349479232024095,2.0,13.136966322635988,0,166,7969,1.6079809260885933,1.0,2.3176827143279897,0,115,7969,0.1134833287248324,0.0476190476190476,0.17358186698664888,0.0,1.0,7969,0.0,0.0,0.0,0.0,0.0
500-1000,500,1000,bridging,21085,0.9799383447948778,1.0,0.1402145413911875,0,1,21085,1.5549442731799858,1.0,3.9496907189970405,0,257,21085,2.534882617974864,2.0,3.951443532079992,0,258,21085,7.167654730851316,6.0,5.444945041917922,0,44,21085,144535.7070429215,17.0,351483.50165277545,1,1000000,21085,140741.11116907754,21.0,347592.19935512077,1,1000000,21085,4.325966326772587,1.0,7.025742815224379,0,103,21085,4.325966326772587,1.0,7.025742815224379,0,103,21085,1.5549442731799858,1.0,3.9496907189970405,0,257,21085,0.07642284222898492,0.0153846153846153,0.1383967996995249,0.0,1.0,21085,0.2,0.2,0.0,0.2,0.2
500-1000,500,1000,clean,1709160,1.5076996887359873,1.0,0.6302745879040135,0,8,1709160,1.4668533080577593,1.0,9.403070279098117,0,5672,1709160,2.9745529967937467,3.0,9.415752082746211,0,5676,1709160,4.95826312340565,4.0,3.4067154270911653,0,44,1709160,770152.6456592713,25.0,9947473.875817036,1,730071134,1709160,769268.3709512275,28.0,9773564.066126304,1,730071137,1709160,22.5105607432891,12.0,33.502957627048275,0,281,1709160,22.5105607432891,12.0,33.502957627048275,0,281,1709160,1.4668533080577593,1.0,9.403070279098117,0,5672,1709160,0.03130073295984357,0.0031152647975077,0.08887062057567711,0.0,1.0,1709160,0.7821327435699408,1.0,0.24878867249877523,0.5,2.0
500-1000,500,1000,glitch,18082,0.0,0.0,0.0,0,0,18082,1.631733215352284,1.0,3.7268371825541218,0,256,18082,1.631733215352284,1.0,3.7268371825541218,0,256,18082,0.0,0.0,0.0,0,0,18082,1.0,1.0,0.0,1,1,18082,1.0,1.0,0.0,1,1,18082,5.654407698263467,2.0,9.079908741414593,0,137,18082,5.654407698263467,2.0,9.079908741414593,0,137,18082,1.631733215352284,1.0,3.7268371825541218,0,256,18082,0.1023056220618798,0.027027027027027,0.16249379671221237,0.0,1.0,18082,0.2,0.2,0.0,0.2,0.2
500-1000,500,1000,stuck_at,18082,0.0,0.0,0.0,0,0,18082,1.5586771374847914,1.0,2.5566989360383814,0,178,18082,1.5586771374847914,1.0,2.5566989360383814,0,178,18082,0.0,0.0,0.0,0,0,18082,496737.58986837737,1.0,500002.67946294206,1,1000000,18082,503263.41013162263,1000000.0,500002.679462942,1,1000000,18082,5.685488330936844,2.0,9.088325726850934,0,165,18082,5.685488330936844,2.0,9.088325726850934,0,165,18082,1.5586771374847914,1.0,2.5566989360383814,0,178,18082,0.10202547101181121,0.027027027027027,0.162244350237768,0.0,1.0,18082,0.0,0.0,0.0,0.0,0.0
1000-2000,1000,2000,bridging,43167,0.9872356198021637,1.0,0.11225748405345194,0,1,43167,1.517061644311627,1.0,4.346575750488752,0,370,43167,2.5042972641137906,2.0,4.3475557070494135,0,371,43167,8.604883359974055,6.0,8.945176955521656,0,72,43167,227583.2938587347,20.0,419417.8047847773,1,3244676,43167,292484.206338175,37.0,454838.39206432324,1,1622334,43167,2.742001992262608,1.0,4.718316853216442,0,84,43167,2.742001992262608,1.0,4.718316853216442,0,84,43167,1.517061644311627,1.0,4.346575750488752,0,370,43167,0.06380360582688294,0.0077519379844961,0.13455123697688756,0.0,1.0,43167,0.19999999999999998,0.2,0.0,0.2,0.2
1000-2000,1000,2000,clean,1709160,1.5100113506049755,1.0,0.6300164790113414,0,8,1709160,1.4367859065271829,1.0,9.390662880577912,0,5672,1709160,2.9467972571321583,3.0,9.40326366567809,0,5676,1709160,4.799949097802429,4.0,3.4623780621664078,0,72,1709160,742351.4122510473,23.0,9464515.692531591,1,520304440,1709160,742651.659928854,26.0,9226090.791339017,1,520304439,1709160,20.298738561632614,10.0,33.63904367642018,0,281,1709160,20.298738561632614,10.0,33.63904367642018,0,281,1709160,1.4367859065271829,1.0,9.390662880577912,0,5672,1709160,0.029732846053748877,0.0031152647975077,0.08665957073890365,0.0,1.0,1709160,0.7821327435699408,1.0,0.24878867249878436,0.5,2.0
