range_label,range_min,range_max,netlist_file,netlist_file_norm,fault_type,bridging,clean,glitch,stuck_at,total_nodes
100-500,100,500,Priority.v,Priority.v,bridging,454,1816,0,0,2270
100-500,100,500,Priority.v,Priority.v,clean,0,1816,0,0,1816
100-500,100,500,Priority.v,Priority.v,glitch,0,1816,454,0,2270
100-500,100,500,Priority.v,Priority.v,stuck_at,0,1816,0,454,2270
100-500,100,500,adder.v,adder.v,bridging,376,2162,0,0,2538
100-500,100,500,adder.v,adder.v,clean,0,2162,0,0,2162
100-500,100,500,adder.v,adder.v,glitch,0,2162,376,0,2538
100-500,100,500,adder.v,adder.v,stuck_at,0,2162,0,376,2538
100-500,100,500,arbiter.v,arbiter.v,bridging,164,23189,0,0,23353
100-500,100,500,arbiter.v,arbiter.v,clean,0,23189,0,0,23189
100-500,100,500,arbiter.v,arbiter.v,glitch,0,23189,164,0,23353
100-500,100,500,arbiter.v,arbiter.v,stuck_at,0,23189,0,164,23353
100-500,100,500,bar.v,bar.v,bridging,100,2959,0,0,3059
100-500,100,500,bar.v,bar.v,clean,0,2959,0,0,2959
100-500,100,500,bar.v,bar.v,glitch,0,2959,100,0,3059
100-500,100,500,bar.v,bar.v,stuck_at,0,2959,0,100,3059
100-500,100,500,c1355.v,c1355.v,bridging,406,518,0,0,924
100-500,100,500,c1355.v,c1355.v,clean,0,518,0,0,518
100-500,100,500,c1355.v,c1355.v,glitch,0,518,406,0,924
100-500,100,500,c1355.v,c1355.v,stuck_at,0,518,0,406,924
100-500,100,500,c17.v,c17.v,bridging,55,6,0,0,61
100-500,100,500,c17.v,c17.v,clean,0,6,0,0,6
100-500,100,500,c17.v,c17.v,glitch,0,6,11,0,17
100-500,100,500,c17.v,c17.v,stuck_at,0,6,0,11,17
100-500,100,500,c1908.v,c1908.v,bridging,273,479,0,0,752
100-500,100,500,c1908.v,c1908.v,clean,0,479,0,0,479
100-500,100,500,c1908.v,c1908.v,glitch,0,479,273,0,752
100-500,100,500,c1908.v,c1908.v,stuck_at,0,479,0,273,752
100-500,100,500,c2670.v,c2670.v,bridging,231,699,0,0,930
100-500,100,500,c2670.v,c2670.v,clean,0,699,0,0,699
100-500,100,500,c2670.v,c2670.v,glitch,0,699,231,0,930
100-500,100,500,c2670.v,c2670.v,stuck_at,0,699,0,231,930
100-500,100,500,c3540.v,c3540.v,bridging,452,1043,0,0,1495
100-500,100,500,c3540.v,c3540.v,clean,0,1043,0,0,1043
100-500,100,500,c3540.v,c3540.v,glitch,0,1043,452,0,1495
100-500,100,500,c3540.v,c3540.v,stuck_at,0,1043,0,452,1495
100-500,100,500,c432.v,c432.v,bridging,236,171,0,0,407
100-500,100,500,c432.v,c432.v,clean,0,171,0,0,171
100-500,100,500,c432.v,c432.v,glitch,0,171,207,0,378
100-500,100,500,c432.v,c432.v,stuck_at,0,171,0,207,378
100-500,100,500,c499.v,c499.v,bridging,452,174,0,0,626
100-500,100,500,c499.v,c499.v,clean,0,174,0,0,174
100-500,100,500,c499.v,c499.v,glitch,0,174,215,0,389
100-500,100,500,c499.v,c499.v,stuck_at,0,174,0,215,389
100-500,100,500,c5315.v,c5315.v,bridging,409,1586,0,0,1995
100-500,100,500,c5315.v,c5315.v,clean,0,1586,0,0,1586
100-500,100,500,c5315.v,c5315.v,glitch,0,1586,409,0,1995
100-500,100,500,c5315.v,c5315.v,stuck_at,0,1586,0,409,1995
100-500,100,500,c6288.v,c6288.v,bridging,384,2353,0,0,2737
100-500,100,500,c6288.v,c6288.v,clean,0,2353,0,0,2353
100-500,100,500,c6288.v,c6288.v,glitch,0,2353,384,0,2737
100-500,100,500,c6288.v,c6288.v,stuck_at,0,2353,0,384,2737
100-500,100,500,c7552.v,c7552.v,bridging,190,2331,0,0,2521
100-500,100,500,c7552.v,c7552.v,clean,0,2331,0,0,2331
100-500,100,500,c7552.v,c7552.v,glitch,0,2331,190,0,2521
100-500,100,500,c7552.v,c7552.v,stuck_at,0,2331,0,190,2521
100-500,100,500,c880.v,c880.v,bridging,196,323,0,0,519
100-500,100,500,c880.v,c880.v,clean,0,323,0,0,323
100-500,100,500,c880.v,c880.v,glitch,0,323,196,0,519
100-500,100,500,c880.v,c880.v,stuck_at,0,323,0,196,519
100-500,100,500,cavlc.v,cavlc.v,bridging,127,1241,0,0,1368
100-500,100,500,cavlc.v,cavlc.v,clean,0,1241,0,0,1241
100-500,100,500,cavlc.v,cavlc.v,glitch,0,1241,127,0,1368
100-500,100,500,cavlc.v,cavlc.v,stuck_at,0,1241,0,127,1368
100-500,100,500,ctrl.v,ctrl.v,bridging,403,306,0,0,709
100-500,100,500,ctrl.v,ctrl.v,clean,0,306,0,0,306
100-500,100,500,ctrl.v,ctrl.v,glitch,0,306,296,0,602
100-500,100,500,ctrl.v,ctrl.v,stuck_at,0,306,0,296,602
100-500,100,500,dec.v,dec.v,bridging,431,312,0,0,743
100-500,100,500,dec.v,dec.v,clean,0,312,0,0,312
100-500,100,500,dec.v,dec.v,glitch,0,312,56,0,368
100-500,100,500,dec.v,dec.v,stuck_at,0,312,0,56,368
100-500,100,500,div.v,div.v,bridging,494,100985,0,0,101479
100-500,100,500,div.v,div.v,clean,0,100985,0,0,100985
100-500,100,500,div.v,div.v,glitch,0,100985,494,0,101479
100-500,100,500,div.v,div.v,stuck_at,0,100985,0,494,101479
100-500,100,500,i2c.v,i2c.v,bridging,305,2022,0,0,2327
100-500,100,500,i2c.v,i2c.v,clean,0,2022,0,0,2022
100-500,100,500,i2c.v,i2c.v,glitch,0,2022,305,0,2327
100-500,100,500,i2c.v,i2c.v,stuck_at,0,2022,0,305,2327
100-500,100,500,int2float.v,int2float.v,bridging,359,407,0,0,766
100-500,100,500,int2float.v,int2float.v,clean,0,407,0,0,407
100-500,100,500,int2float.v,int2float.v,glitch,0,407,359,0,766
100-500,100,500,int2float.v,int2float.v,stuck_at,0,407,0,359,766
100-500,100,500,log2.v,log2.v,bridging,453,46746,0,0,47199
100-500,100,500,log2.v,log2.v,clean,0,46746,0,0,46746
100-500,100,500,log2.v,log2.v,glitch,0,46746,453,0,47199
100-500,100,500,log2.v,log2.v,stuck_at,0,46746,0,453,47199
100-500,100,500,max.v,max.v,bridging,269,5063,0,0,5332
100-500,100,500,max.v,max.v,clean,0,5063,0,0,5063
100-500,100,500,max.v,max.v,glitch,0,5063,269,0,5332
100-500,100,500,max.v,max.v,stuck_at,0,5063,0,269,5332
100-500,100,500,memctrl.v,memctrl.v,bridging,398,81353,0,0,81751
100-500,100,500,memctrl.v,memctrl.v,clean,0,81353,0,0,81353
100-500,100,500,memctrl.v,memctrl.v,glitch,0,81353,398,0,81751
100-500,100,500,memctrl.v,memctrl.v,stuck_at,0,81353,0,398,81751
