range_label,range_min,range_max,netlist_file,netlist_file_norm,fault_type,nodes,labeled_fault_nodes,final_clean_nodes,final_bridging_nodes,final_glitch_nodes,final_stuck_at_nodes,mean_path_depth,max_path_depth,mean_dist_to_PO,max_dist_to_PO,mean_fanout,max_fanout,mean_CC0_exact,mean_CC1_exact,mean_CO_exact,edges,mean_edge_fan_out,max_edge_fan_out,fault_node_density_percent,source_file,requested_k,effective_k,candidate_nets,feasible_fault_sites,capped,output_file,fault_nodes_minus_effective_k,metadata_matched
100-500,100,500,Priority.v,Priority.v,bridging,2270,454,1816,454,0,0,4.247577092511013,16,1.9740088105726872,8,1.3079295154185022,6,42750.259030837005,47598.40220264317,1.9740088105726872,2969,2.1559447625463117,6,20.0,Priority.v,454,454,1809,1635336,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k454_Priority.v,0,1
100-500,100,500,Priority.v,Priority.v,glitch,2270,454,1816,0,454,0,1.437444933920705,6,2.0973568281938326,12,1.1079295154185023,5,3.7259911894273126,4.085462555066079,2.0973568281938326,2515,1.8047713717693836,5,20.0,Priority.v,454,454,1809,1809,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k454_Priority.v,0,1
100-500,100,500,Priority.v,Priority.v,stuck_at,2270,454,1816,0,0,454,1.4700440528634362,6,2.054625550660793,9,1.1079295154185023,5,359033.1559471366,401764.56740088103,2.054625550660793,2515,1.8047713717693836,5,20.0,Priority.v,454,454,1809,1809,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k454_Priority.v,0,1
100-500,100,500,adder.v,adder.v,bridging,2538,376,2162,376,0,0,2.8289992119779352,10,1.7675334909377463,6,1.1993695823483057,4,7.376280535855004,7.98187549251379,1.7675334909377463,3044,1.7706964520367936,4,14.814814814814815,adder.v,376,376,2034,2067561,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k376_adder.v,0,1
100-500,100,500,adder.v,adder.v,glitch,2538,376,2162,0,376,0,1.429078014184397,5,1.8258471237194642,6,1.0512214342001576,3,3.491331757289204,3.7777777777777777,1.8258471237194642,2668,1.4767616191904047,3,14.814814814814815,adder.v,376,376,2034,2034,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k376_adder.v,0,1
100-500,100,500,adder.v,adder.v,stuck_at,2538,376,2162,0,0,376,1.4058313632781718,5,1.7970843183609142,6,1.0512214342001576,3,231287.3573680063,249806.07052797478,1.7970843183609142,2668,1.4767616191904047,3,14.814814814814815,adder.v,376,376,2034,2034,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k376_adder.v,0,1
100-500,100,500,arbiter.v,arbiter.v,bridging,23353,164,23189,164,0,0,2.929730655590288,7,49.78863529311009,169,1.4795529482293495,43,8.40984027748041,8.508157410182847,49.78863529311009,34552,13.543297059504514,43,0.7022652335888323,arbiter.v,164,164,23061,265893330,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k164_arbiter.v,0,1
100-500,100,500,arbiter.v,arbiter.v,glitch,23353,164,23189,0,164,0,2.8305999229221084,4,54.182032287072325,169,1.4725302958934612,42,7.901554404145077,7.986468547938166,54.182032287072325,34388,13.588577410724671,42,0.7022652335888323,arbiter.v,164,164,23061,23061,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k164_arbiter.v,0,1
100-500,100,500,arbiter.v,arbiter.v,stuck_at,23353,164,23189,0,0,164,2.841219543527598,4,55.230291611356144,169,1.4725302958934612,42,14438.516635978247,14352.97567764313,55.230291611356144,34388,13.588577410724671,42,0.7022652335888323,arbiter.v,164,164,23061,23061,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k164_arbiter.v,0,1
100-500,100,500,bar.v,bar.v,bridging,3059,100,2959,100,0,0,2.0438051650866296,7,3.8921216083687478,10,1.8345864661654134,257,5.7296502124877415,9.517162471395881,3.8921216083687478,5612,42.46792587312901,257,3.2690421706440014,bar.v,100,100,2831,4005865,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k100_bar.v,0,1
