ok,range_label,netlist_file,fault_type,events_found,pseudo_fault_nodes_created,labeled_fault_nodes,num_nodes,num_edges,generated_file,generated_file_path,requested_k,effective_k,metadata_used
True,100-500,Priority.v,clean,0,0,0,1816,2515,Priority.v,fault_injection_fig_faultsweep/clean_netlists/Priority.v,0,0,True
True,100-500,adder.v,clean,0,0,0,2162,2668,adder.v,fault_injection_fig_faultsweep/clean_netlists/adder.v,0,0,True
True,100-500,arbiter.v,clean,0,0,0,23189,34388,arbiter.v,fault_injection_fig_faultsweep/clean_netlists/arbiter.v,0,0,True
True,100-500,bar.v,clean,0,0,0,2959,5512,bar.v,fault_injection_fig_faultsweep/clean_netlists/bar.v,0,0,True
True,100-500,c1355.v,clean,0,0,0,518,824,c1355.v,fault_injection_fig_faultsweep/clean_netlists/c1355.v,0,0,True
True,100-500,c17.v,clean,0,0,0,6,6,c17.v,fault_injection_fig_faultsweep/clean_netlists/c17.v,0,0,True
True,100-500,c1908.v,clean,0,0,0,479,862,c1908.v,fault_injection_fig_faultsweep/clean_netlists/c1908.v,0,0,True
True,100-500,c2670.v,clean,0,0,0,699,1086,c2670.v,fault_injection_fig_faultsweep/clean_netlists/c2670.v,0,0,True
True,100-500,c3540.v,clean,0,0,0,1043,1719,c3540.v,fault_injection_fig_faultsweep/clean_netlists/c3540.v,0,0,True
True,100-500,c432.v,clean,0,0,0,171,266,c432.v,fault_injection_fig_faultsweep/clean_netlists/c432.v,0,0,True
True,100-500,c499.v,clean,0,0,0,174,264,c499.v,fault_injection_fig_faultsweep/clean_netlists/c499.v,0,0,True
True,100-500,c5315.v,clean,0,0,0,1586,2627,c5315.v,fault_injection_fig_faultsweep/clean_netlists/c5315.v,0,0,True
True,100-500,c6288.v,clean,0,0,0,2353,4178,c6288.v,fault_injection_fig_faultsweep/clean_netlists/c6288.v,0,0,True
True,100-500,c7552.v,clean,0,0,0,2331,4131,c7552.v,fault_injection_fig_faultsweep/clean_netlists/c7552.v,0,0,True
True,100-500,c880.v,clean,0,0,0,323,440,c880.v,fault_injection_fig_faultsweep/clean_netlists/c880.v,0,0,True
True,100-500,cavlc.v,clean,0,0,0,1241,1713,cavlc.v,fault_injection_fig_faultsweep/clean_netlists/cavlc.v,0,0,True
True,100-500,ctrl.v,clean,0,0,0,306,391,ctrl.v,fault_injection_fig_faultsweep/clean_netlists/ctrl.v,0,0,True
True,100-500,dec.v,clean,0,0,0,312,592,dec.v,fault_injection_fig_faultsweep/clean_netlists/dec.v,0,0,True
True,100-500,div.v,clean,0,0,0,100985,153708,div.v,fault_injection_fig_faultsweep/clean_netlists/div.v,0,0,True
True,100-500,i2c.v,clean,0,0,0,2022,2824,i2c.v,fault_injection_fig_faultsweep/clean_netlists/i2c.v,0,0,True
True,100-500,int2float.v,clean,0,0,0,407,523,int2float.v,fault_injection_fig_faultsweep/clean_netlists/int2float.v,0,0,True
True,100-500,log2.v,clean,0,0,0,46746,76804,log2.v,fault_injection_fig_faultsweep/clean_netlists/log2.v,0,0,True
True,100-500,max.v,clean,0,0,0,5063,6286,max.v,fault_injection_fig_faultsweep/clean_netlists/max.v,0,0,True
True,100-500,memctrl.v,clean,0,0,0,81353,115485,memctrl.v,fault_injection_fig_faultsweep/clean_netlists/memctrl.v,0,0,True
True,100-500,multiplier.v,clean,0,0,0,42974,62779,multiplier.v,fault_injection_fig_faultsweep/clean_netlists/multiplier.v,0,0,True
True,100-500,router.v,clean,0,0,0,365,485,router.v,fault_injection_fig_faultsweep/clean_netlists/router.v,0,0,True
True,100-500,sin.v,clean,0,0,0,7655,12997,sin.v,fault_injection_fig_faultsweep/clean_netlists/sin.v,0,0,True
True,100-500,sqrt.v,clean,0,0,0,36797,60732,sqrt.v,fault_injection_fig_faultsweep/clean_netlists/sqrt.v,0,0,True
True,100-500,square.v,clean,0,0,0,35262,49304,square.v,fault_injection_fig_faultsweep/clean_netlists/square.v,0,0,True
True,100-500,voter.v,clean,0,0,0,25993,36747,voter.v,fault_injection_fig_faultsweep/clean_netlists/voter.v,0,0,True
True,100-500,bar.v,stuck_at,100,100,100,3059,5512,stuck_at_k100_bar.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k100_bar.v,100,100,True
True,100-500,cavlc.v,stuck_at,127,127,127,1368,1713,stuck_at_k127_cavlc.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k127_cavlc.v,127,127,True
True,100-500,sin.v,stuck_at,146,146,146,7801,12997,stuck_at_k146_sin.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k146_sin.v,146,146,True
True,100-500,square.v,stuck_at,150,150,150,35412,49304,stuck_at_k150_square.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k150_square.v,150,150,True
True,100-500,voter.v,stuck_at,156,156,156,26149,36747,stuck_at_k156_voter.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k156_voter.v,156,156,True
True,100-500,arbiter.v,stuck_at,164,164,164,23353,34388,stuck_at_k164_arbiter.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k164_arbiter.v,164,164,True
True,100-500,router.v,stuck_at,187,187,187,552,485,stuck_at_k187_router.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k187_router.v,187,187,True
True,100-500,c7552.v,stuck_at,190,190,190,2521,4270,stuck_at_k190_c7552.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k190_c7552.v,190,190,True
True,100-500,c880.v,stuck_at,196,196,196,519,575,stuck_at_k196_c880.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k196_c880.v,196,196,True
True,100-500,c2670.v,stuck_at,231,231,231,930,1190,stuck_at_k231_c2670.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k231_c2670.v,231,231,True
True,100-500,c432.v,stuck_at,207,207,207,378,347,stuck_at_k236_c432.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k236_c432.v,236,207,True
True,100-500,multiplier.v,stuck_at,244,244,244,43218,62779,stuck_at_k244_multiplier.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k244_multiplier.v,244,244,True
True,100-500,sqrt.v,stuck_at,261,261,261,37058,60732,stuck_at_k261_sqrt.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k261_sqrt.v,261,261,True
True,100-500,max.v,stuck_at,269,269,269,5332,6286,stuck_at_k269_max.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k269_max.v,269,269,True
True,100-500,c1908.v,stuck_at,273,273,273,752,944,stuck_at_k273_c1908.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k273_c1908.v,273,273,True
True,100-500,i2c.v,stuck_at,305,305,305,2327,2867,stuck_at_k305_i2c.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k305_i2c.v,305,305,True
True,100-500,int2float.v,stuck_at,359,359,359,766,523,stuck_at_k359_int2float.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k359_int2float.v,359,359,True
True,100-500,adder.v,stuck_at,376,376,376,2538,2668,stuck_at_k376_adder.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k376_adder.v,376,376,True
True,100-500,c17.v,stuck_at,11,11,11,17,12,stuck_at_k383_c17.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k383_c17.v,383,11,True
True,100-500,c6288.v,stuck_at,384,384,384,2737,4242,stuck_at_k384_c6288.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k384_c6288.v,384,384,True
True,100-500,memctrl.v,stuck_at,398,398,398,81751,115493,stuck_at_k398_memctrl.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k398_memctrl.v,398,398,True
True,100-500,ctrl.v,stuck_at,296,296,296,602,391,stuck_at_k403_ctrl.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k403_ctrl.v,403,296,True
True,100-500,c1355.v,stuck_at,406,406,406,924,1007,stuck_at_k406_c1355.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k406_c1355.v,406,406,True
True,100-500,c5315.v,stuck_at,409,409,409,1995,2827,stuck_at_k409_c5315.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k409_c5315.v,409,409,True
True,100-500,dec.v,stuck_at,56,56,56,368,592,stuck_at_k431_dec.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k431_dec.v,431,56,True
True,100-500,c3540.v,stuck_at,452,452,452,1495,1902,stuck_at_k452_c3540.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k452_c3540.v,452,452,True
True,100-500,c499.v,stuck_at,215,215,215,389,376,stuck_at_k452_c499.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k452_c499.v,452,215,True
True,100-500,log2.v,stuck_at,453,453,453,47199,76804,stuck_at_k453_log2.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k453_log2.v,453,453,True
True,100-500,Priority.v,stuck_at,454,454,454,2270,2515,stuck_at_k454_Priority.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k454_Priority.v,454,454,True
True,100-500,div.v,stuck_at,494,494,494,101479,153708,stuck_at_k494_div.v,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k494_div.v,494,494,True
True,100-500,bar.v,glitch,100,100,100,3059,5512,glitch_k100_bar.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k100_bar.v,100,100,True
True,100-500,cavlc.v,glitch,127,127,127,1368,1713,glitch_k127_cavlc.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k127_cavlc.v,127,127,True
True,100-500,sin.v,glitch,146,146,146,7801,12997,glitch_k146_sin.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k146_sin.v,146,146,True
True,100-500,square.v,glitch,150,150,150,35412,49304,glitch_k150_square.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k150_square.v,150,150,True
True,100-500,voter.v,glitch,156,156,156,26149,36747,glitch_k156_voter.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k156_voter.v,156,156,True
True,100-500,arbiter.v,glitch,164,164,164,23353,34388,glitch_k164_arbiter.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k164_arbiter.v,164,164,True
True,100-500,router.v,glitch,187,187,187,552,485,glitch_k187_router.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k187_router.v,187,187,True
True,100-500,c7552.v,glitch,190,190,190,2521,4153,glitch_k190_c7552.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k190_c7552.v,190,190,True
True,100-500,c880.v,glitch,196,196,196,519,542,glitch_k196_c880.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k196_c880.v,196,196,True
True,100-500,c2670.v,glitch,231,231,231,930,1138,glitch_k231_c2670.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k231_c2670.v,231,231,True
True,100-500,c432.v,glitch,207,207,207,378,347,glitch_k236_c432.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k236_c432.v,236,207,True
True,100-500,multiplier.v,glitch,244,244,244,43218,62779,glitch_k244_multiplier.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k244_multiplier.v,244,244,True
True,100-500,sqrt.v,glitch,261,261,261,37058,60732,glitch_k261_sqrt.v,fault_injection_fig_faultsweep/100-500/glitch/glitch_k261_sqrt.v,261,261,True
