range_label,fault_type,files,unique_netlists,requested_faults_total,effective_faults_total,events_found_total,pseudo_fault_nodes_total,labeled_fault_nodes_total,nodes_total,edges_total,mean_nodes_per_file,mean_edges_per_file,metadata_used_files
100-500,bridging,30,30,9089,8761,8761,8761,8761,436051,652491,14535.033333333333,21749.7,30
100-500,clean,30,30,0,0,0,0,0,427290,642856,14243.0,21428.533333333333,30
100-500,glitch,30,30,9089,7969,7969,7969,7969,435259,644039,14508.633333333333,21467.966666666667,30
100-500,stuck_at,30,30,9089,7969,7969,7969,7969,435259,644196,14508.633333333333,21473.2,30
1000-2000,bridging,30,30,44693,43167,43167,43167,43167,470457,688632,15681.9,22954.4,30
1000-2000,clean,30,30,0,0,0,0,0,427290,642856,14243.0,21428.533333333333,30
1000-2000,glitch,30,30,44693,32287,32287,32287,32287,459577,646042,15319.233333333334,21534.733333333334,30
1000-2000,stuck_at,30,30,44693,32287,32287,32287,32287,459577,645937,15319.233333333334,21531.233333333334,30
500-1000,bridging,30,30,21644,21085,21085,21085,21085,448375,665108,14945.833333333334,22170.266666666666,30
500-1000,clean,30,30,0,0,0,0,0,427290,642856,14243.0,21428.533333333333,30
500-1000,glitch,30,30,21644,18082,18082,18082,18082,445372,644780,14845.733333333334,21492.666666666668,30
500-1000,stuck_at,30,30,21644,18082,18082,18082,18082,445372,644818,14845.733333333334,21493.933333333334,30
