setting_label,netlist_file,netlist_file_norm,fault_type,bridging,clean,glitch,stuck_at,total_nodes
baseline_original,Priority.v,Priority.v,bridging,100,1816,0,0,1916
baseline_original,Priority.v,Priority.v,clean,0,1816,0,0,1816
baseline_original,Priority.v,Priority.v,glitch,0,1816,100,0,1916
baseline_original,Priority.v,Priority.v,stuck_at,0,1816,0,100,1916
baseline_original,adder.v,adder.v,bridging,100,2162,0,0,2262
baseline_original,adder.v,adder.v,clean,0,2162,0,0,2162
baseline_original,adder.v,adder.v,glitch,0,2162,100,0,2262
baseline_original,adder.v,adder.v,stuck_at,0,2162,0,100,2262
baseline_original,arbiter.v,arbiter.v,bridging,100,23189,0,0,23289
baseline_original,arbiter.v,arbiter.v,clean,0,23189,0,0,23189
baseline_original,arbiter.v,arbiter.v,glitch,0,23189,100,0,23289
baseline_original,arbiter.v,arbiter.v,stuck_at,0,23189,0,100,23289
baseline_original,bar.v,bar.v,bridging,100,2959,0,0,3059
baseline_original,bar.v,bar.v,clean,0,2959,0,0,2959
baseline_original,bar.v,bar.v,glitch,0,2959,100,0,3059
baseline_original,bar.v,bar.v,stuck_at,0,2959,0,100,3059
baseline_original,c1355.v,c1355.v,bridging,55,518,0,0,573
baseline_original,c1355.v,c1355.v,clean,0,518,0,0,518
baseline_original,c1355.v,c1355.v,glitch,0,518,55,0,573
baseline_original,c1355.v,c1355.v,stuck_at,0,518,0,55,573
baseline_original,c17.v,c17.v,bridging,10,6,0,0,16
baseline_original,c17.v,c17.v,clean,0,6,0,0,6
baseline_original,c17.v,c17.v,glitch,0,6,10,0,16
baseline_original,c17.v,c17.v,stuck_at,0,6,0,10,16
baseline_original,c1908.v,c1908.v,bridging,51,479,0,0,530
baseline_original,c1908.v,c1908.v,clean,0,479,0,0,479
baseline_original,c1908.v,c1908.v,glitch,0,479,51,0,530
baseline_original,c1908.v,c1908.v,stuck_at,0,479,0,51,530
baseline_original,c2670.v,c2670.v,bridging,190,699,0,0,889
baseline_original,c2670.v,c2670.v,clean,0,699,0,0,699
baseline_original,c2670.v,c2670.v,glitch,0,699,190,0,889
baseline_original,c2670.v,c2670.v,stuck_at,0,699,0,190,889
baseline_original,c3540.v,c3540.v,bridging,100,1043,0,0,1143
baseline_original,c3540.v,c3540.v,clean,0,1043,0,0,1043
baseline_original,c3540.v,c3540.v,glitch,0,1043,100,0,1143
baseline_original,c3540.v,c3540.v,stuck_at,0,1043,0,100,1143
baseline_original,c432.v,c432.v,bridging,20,171,0,0,191
baseline_original,c432.v,c432.v,clean,0,171,0,0,171
baseline_original,c432.v,c432.v,glitch,0,171,20,0,191
baseline_original,c432.v,c432.v,stuck_at,0,171,0,20,191
baseline_original,c499.v,c499.v,bridging,21,174,0,0,195
baseline_original,c499.v,c499.v,clean,0,174,0,0,174
baseline_original,c499.v,c499.v,glitch,0,174,21,0,195
baseline_original,c499.v,c499.v,stuck_at,0,174,0,21,195
baseline_original,c5315.v,c5315.v,bridging,119,1586,0,0,1705
baseline_original,c5315.v,c5315.v,clean,0,1586,0,0,1586
baseline_original,c5315.v,c5315.v,glitch,0,1586,119,0,1705
baseline_original,c5315.v,c5315.v,stuck_at,0,1586,0,119,1705
baseline_original,c6288.v,c6288.v,bridging,100,2353,0,0,2453
baseline_original,c6288.v,c6288.v,clean,0,2353,0,0,2353
baseline_original,c6288.v,c6288.v,glitch,0,2353,100,0,2453
baseline_original,c6288.v,c6288.v,stuck_at,0,2353,0,100,2453
