setting_label,netlist_file,netlist_file_norm,fault_type,nodes,labeled_fault_nodes,final_clean_nodes,final_bridging_nodes,final_glitch_nodes,final_stuck_at_nodes,mean_path_depth,max_path_depth,mean_dist_to_PO,max_dist_to_PO,mean_fanout,max_fanout,mean_CC0_exact,mean_CC1_exact,mean_CO_exact,edges,mean_edge_fan_out,max_edge_fan_out,fault_node_density_percent
baseline_original,Priority.v,Priority.v,bridging,1916,100,1816,100,0,0,3.1597077244258873,12,5.567327766179541,19,1.3643006263048016,5,487999.5344467641,510442.3841336117,5.567327766179541,2614,1.882938026013772,5,5.219206680584551
baseline_original,Priority.v,Priority.v,clean,1816,0,1816,0,0,0,2.9151982378854626,6,72.18447136563877,249,1.3849118942731278,5,98.30781938325991,98.13546255506608,73.24339207048457,2515,1.8047713717693836,5,0.0
baseline_original,Priority.v,Priority.v,glitch,1916,100,1816,0,100,0,2.4446764091858038,6,7.606471816283925,36,1.3173277661795406,5,10.713465553235908,10.842379958246347,7.606471816283925,2524,1.803486529318542,5,5.219206680584551
baseline_original,Priority.v,Priority.v,stuck_at,1916,100,1816,0,0,100,2.4269311064718164,6,6.5845511482254695,40,1.3162839248434237,5,146669.7092901879,158152.2108559499,6.5845511482254695,2522,1.80253766851705,5,5.219206680584551
baseline_original,adder.v,adder.v,bridging,2262,100,2162,100,0,0,2.414235190097259,8,2.90053050397878,10,1.2206012378426172,4,114947.1949602122,114947.24801061008,2.90053050397878,2761,1.5396595436436074,4,4.420866489832007
baseline_original,adder.v,adder.v,clean,2162,0,2162,0,0,0,2.339962997224792,5,3.3348751156336727,6,1.2340425531914894,3,5.616096207215541,5.50277520814061,3.3348751156336727,2668,1.4767616191904047,3,0.0
baseline_original,adder.v,adder.v,glitch,2262,100,2162,0,100,0,2.0623342175066313,5,2.8598585322723253,6,1.1808134394341292,3,4.992042440318302,4.996463306808135,2.8598585322723253,2671,1.4762261325346313,3,4.420866489832007
baseline_original,adder.v,adder.v,stuck_at,2262,100,2162,0,0,100,2.0910698496905393,6,2.8691423519009724,6,1.1830238726790452,3,68086.35809018568,66318.00751547303,2.8691423519009724,2676,1.4753363228699552,3,4.420866489832007
baseline_original,arbiter.v,arbiter.v,bridging,23289,100,23189,100,0,0,2.9090987161320796,6,57.881746747391475,169,1.48087079737215,43,460951.38417278545,461380.8735454506,57.881746747391475,34488,13.562804453723034,43,0.4293872643737387
baseline_original,arbiter.v,arbiter.v,clean,23189,0,23189,0,0,0,2.8834361119496315,4,79.52339471301048,169,1.4829444995471992,42,8.06973133813446,8.122687481133296,79.52339471301048,34388,13.588577410724671,42,0.0
