setting_label,fault_type,graph_count,unique_netlists,total_nodes,total_edges,total_labeled_fault_nodes,mean_labeled_fault_nodes_per_graph,median_labeled_fault_nodes_per_graph,min_labeled_fault_nodes_per_graph,max_labeled_fault_nodes_per_graph,std_labeled_fault_nodes_per_graph,mean_fault_node_density_percent,median_fault_node_density_percent,mean_nodes_per_graph,mean_edges_per_graph,mean_path_depth,max_path_depth,mean_dist_to_PO,max_dist_to_PO,mean_fanout,max_fanout,range_min,range_max
baseline_original,clean,30,30,427290,642856,0,0.0,0.0,0,0,0.0,0.0,0.0,14243.0,21428.533333333333,3.8419898017779017,39,25.648244158167405,283,1.5069756720168064,321,,
baseline_original,bridging,30,30,430073,645489,2783,92.76666666666667,100.0,10,335,60.847283867260565,7.8803175799025365,5.713662487219198,14335.766666666666,21516.3,4.069065629234278,30,10.035686218419745,255,1.4854530650324673,321,,
baseline_original,glitch,30,30,430073,643199,2783,92.76666666666667,100.0,10,335,60.847283867260565,7.8803175799025365,5.713662487219198,14335.766666666666,21439.966666666667,3.1056715889531143,24,11.092582481027678,255,1.4221260862623841,321,,
baseline_original,stuck_at,30,30,430071,643182,2781,92.7,100.0,10,335,60.87191187380608,7.8675169626672945,5.713662487219198,14335.7,21439.4,3.0968664167152524,24,10.948513285743937,255,1.4232801971839426,321,,
100-500,clean,30,30,427290,642856,0,0.0,0.0,0,0,0.0,0.0,0.0,14243.0,21428.533333333333,3.837069895523834,39,23.356137233493943,281,1.5069756720168064,5672,100.0,500.0
100-500,bridging,30,30,436051,652491,8761,292.03333333333336,271.0,55,494,127.60188176467092,23.447001210962647,14.422387312412887,14535.033333333333,21749.7,4.831377911702048,32,6.732835601916937,169,1.418680066456657,5672,100.0,500.0
100-500,glitch,30,30,435259,644039,7969,265.6333333333333,252.5,11,494,129.00266859932444,20.24440705419182,14.422387312412887,14508.633333333331,21467.966666666667,2.426678751935379,23,7.190205389033856,169,1.2677490895184718,5672,100.0,500.0
100-500,stuck_at,30,30,435259,644196,7969,265.6333333333333,252.5,11,494,129.00266859932444,20.24440705419182,14.422387312412887,14508.633333333331,21473.2,2.439800281988399,24,7.4312754605817215,169,1.2760698703886026,5672,100.0,500.0
500-1000,clean,30,30,427290,642856,0,0.0,0.0,0,0,0.0,0.0,0.0,14243.0,21428.533333333333,3.837069895523834,39,23.356137233493943,281,1.5069756720168064,5672,500.0,1000.0
500-1000,bridging,30,30,448375,665108,21085,702.8333333333334,712.0,55,994,197.9765021468428,34.113170303481496,29.938580974173146,14945.833333333334,22170.266666666663,6.112593956153726,44,3.809123943627579,128,1.3632307755490147,5672,500.0,1000.0
500-1000,glitch,30,30,445372,644780,18082,602.7333333333333,611.5,11,994,273.2482682323056,27.67836840125165,28.42358147450757,14845.733333333334,21492.666666666668,1.834435449544833,17,4.265653885089397,169,1.1666216343756808,5672,500.0,1000.0
500-1000,stuck_at,30,30,445372,644818,18082,602.7333333333333,611.5,11,994,273.2482682323056,27.67836840125165,28.42358147450757,14845.733333333334,21493.93333333333,1.8543509130302096,19,4.278667934649183,169,1.1655643085499157,5672,500.0,1000.0
1000-2000,clean,30,30,427290,642856,0,0.0,0.0,0,0,0.0,0.0,0.0,14243.0,21428.533333333333,3.837069895523834,39,23.356137233493943,281,1.5069756720168064,5672,1000.0,2000.0
1000-2000,bridging,30,30,470457,688632,43167,1438.9,1465.5,55,1976,357.7458498759255,45.38104514931478,46.3823135622458,15681.9,22954.4,7.601905871386652,72,2.5903684800676183,88,1.305626744394174,5672,1000.0,2000.0
1000-2000,glitch,30,30,459577,646042,32287,1076.2333333333331,1257.0,11,1976,610.177853288431,34.04621037417579,43.7234847148147,15319.233333333334,21534.733333333334,1.5169877912061784,19,2.908678985777984,104,1.0789588304801652,5672,1000.0,2000.0
1000-2000,stuck_at,30,30,459577,645937,32287,1076.2333333333331,1257.0,11,1976,610.177853288431,34.04621037417579,43.7234847148147,15319.233333333334,21531.233333333334,1.5036549117817202,17,2.9089164418906157,118,1.0784229329474124,5672,1000.0,2000.0
